year,oshpd_id,county_number,county_name,facility_name,dba_address1,dba_city,dba_zip_code,license_category_desc,teaching_hospital_desc,licensed_bed_size,er_service_level,sex_male,sex_female,sex_unk,age_01_09,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_,age_under_1,age_unknown,asian_pacific_island,black,hispanic,native_american_eski,other_race,unknown_race,white,acute_care,against_medical_advice,died,hospice_care,home_health_service,residential_care,routine,psychiatric_care,sn_ic_care,medi_cal,medicare,other_payer,private_coverage,selfpay,all_other,english,spanish,ed_admit,ed_visit
2012,106013619,1,Alameda,SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,SAN LEANDRO,94578,General Acute Care,0.0,50-99,BASIC,9677.0,13341.0,0.0,960.0,1764.0,5045.0,3889.0,3606.0,3694.0,1919.0,948.0,1063.0,130.0,0.0,1439.0,11975.0,3978.0,152.0,782.0,416.0,4276.0,240.0,493.0,48.0,8.0,14.0,0.0,21172.0,744.0,183.0,1369.0,4533.0,10057.0,2570.0,0.0,402.0,21699.0,917.0,3104.0,23018.0
2012,106014050,1,Alameda,STANFORD HEALTH CARE - VALLEYCARE,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,General Acute Care,0.0,150-199,BASIC,11165.0,12999.0,0.0,2914.0,2662.0,3660.0,3408.0,3625.0,2941.0,1813.0,1194.0,1315.0,632.0,0.0,2319.0,1618.0,3896.0,57.0,1374.0,91.0,14809.0,496.0,178.0,54.0,2.0,0.0,3.0,22817.0,586.0,24.0,4712.0,3714.0,1247.0,11226.0,0.0,542.0,22342.0,1280.0,4038.0,24164.0
2012,106034002,3,Amador,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,95642,General Acute Care,0.0,50-99,BASIC,7393.0,9422.0,0.0,1408.0,1530.0,2341.0,1994.0,2052.0,2521.0,1800.0,1398.0,1511.0,260.0,0.0,64.0,88.0,607.0,130.0,41.0,2.0,15883.0,664.0,64.0,28.0,1.0,14.0,0.0,15839.0,23.0,0.0,5485.0,4716.0,688.0,4229.0,0.0,55.0,16579.0,181.0,1720.0,16815.0
2012,106040802,4,Butte,ORCHARD HOSPITAL,240 SPRUCE STREET,GRIDLEY,95948,General Acute Care,0.0,1-49,STANDBY,3502.0,4155.0,0.0,1027.0,908.0,1024.0,1008.0,967.0,876.0,609.0,588.0,497.0,153.0,0.0,63.0,60.0,1883.0,36.0,225.0,5.0,5385.0,199.0,187.0,11.0,1.0,1.0,25.0,7150.0,3.0,42.0,3427.0,1866.0,78.0,1263.0,0.0,63.0,6545.0,1049.0,459.0,7657.0
2012,106040875,4,Butte,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,PARADISE,95969,General Acute Care,0.0,100-149,BASIC,8114.0,10666.0,1.0,1823.0,1735.0,2745.0,2289.0,2225.0,2450.0,1846.0,1405.0,1848.0,415.0,0.0,64.0,127.0,459.0,0.0,33.0,106.0,17992.0,247.0,286.0,30.0,4.0,13.0,4.0,17693.0,1.0,104.0,7475.0,5708.0,407.0,3414.0,0.0,9.0,18749.0,23.0,3619.0,18781.0
2012,106040937,4,Butte,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,95966,General Acute Care,0.0,100-149,BASIC,11042.0,12780.0,0.0,2279.0,2216.0,4429.0,3309.0,3766.0,3649.0,1710.0,987.0,905.0,572.0,0.0,589.0,920.0,1504.0,577.0,340.0,7.0,19885.0,256.0,732.0,50.0,0.0,2.0,26.0,22369.0,347.0,36.0,12589.0,5105.0,798.0,3477.0,0.0,306.0,23202.0,314.0,8534.0,23822.0
2012,106040962,4,Butte,ENLOE MEDICAL CENTER- ESPLANADE,1531 ESPLANADE,CHICO,95926,General Acute Care,0.0,200-299,BASIC,14924.0,17076.0,0.0,2759.0,3415.0,6887.0,3986.0,3961.0,3953.0,2642.0,1591.0,2148.0,658.0,0.0,385.0,1104.0,4455.0,357.0,1452.0,88.0,24159.0,163.0,398.0,59.0,0.0,0.0,0.0,29906.0,510.0,292.0,9746.0,7168.0,3001.0,8516.0,0.0,437.0,29745.0,1818.0,9467.0,32000.0
2012,106050932,5,Calaveras,MARK TWAIN MEDICAL CENTER,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,General Acute Care,0.0,1-49,BASIC,3766.0,3884.0,0.0,595.0,909.0,984.0,862.0,1003.0,1099.0,873.0,696.0,557.0,72.0,0.0,48.0,91.0,352.0,28.0,56.0,58.0,7017.0,395.0,84.0,23.0,0.0,8.0,4.0,6884.0,82.0,28.0,1792.0,2120.0,797.0,1973.0,0.0,35.0,7514.0,101.0,1125.0,7650.0
2012,106060870,6,Colusa,COLUSA MEDICAL CENTER,199 EAST WEBSTER STREET,COLUSA,95932,General Acute Care,0.0,1-49,STANDBY,2466.0,2856.0,1.0,853.0,675.0,708.0,690.0,579.0,503.0,389.0,373.0,366.0,187.0,0.0,36.0,76.0,2192.0,97.0,66.0,3.0,2853.0,266.0,55.0,9.0,0.0,3.0,0.0,4866.0,40.0,20.0,1838.0,1151.0,322.0,1561.0,0.0,23.0,3974.0,1326.0,604.0,5323.0
2012,106070904,7,Contra Costa,DOCTORS MEDICAL CENTER - SAN PABLO,2000 VALE ROAD,SAN PABLO,94806,General Acute Care,0.0,100-149,BASIC,16861.0,22808.0,1.0,4886.0,4089.0,7161.0,5608.0,5497.0,5406.0,3110.0,1727.0,1461.0,724.0,1.0,1580.0,8888.0,23161.0,0.0,1040.0,136.0,4865.0,406.0,486.0,77.0,19.0,34.0,1.0,38012.0,112.0,221.0,7808.0,6553.0,4785.0,11144.0,0.0,180.0,38824.0,666.0,5487.0,39670.0
2012,106070924,7,Contra Costa,CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA AVENUE,MARTINEZ,94553,General Acute Care,0.0,150-199,BASIC,24565.0,28120.0,5.0,3563.0,3936.0,10571.0,8973.0,9191.0,9284.0,4363.0,1224.0,567.0,1018.0,0.0,2421.0,7883.0,13976.0,254.0,6537.0,45.0,21574.0,689.0,1222.0,4.0,0.0,784.0,66.0,47831.0,611.0,1043.0,21404.0,4429.0,2033.0,12305.0,0.0,1911.0,41829.0,8950.0,5755.0,52690.0
2012,106070934,7,Contra Costa,SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,ANTIOCH,94509,General Acute Care,0.0,100-149,BASIC,19691.0,27406.0,0.0,7283.0,6208.0,8799.0,6586.0,6179.0,4946.0,2570.0,1536.0,1386.0,1604.0,0.0,1838.0,13385.0,13152.0,27.0,772.0,66.0,17857.0,612.0,974.0,66.0,0.0,8.0,0.0,45106.0,232.0,0.0,21594.0,6569.0,1181.0,8098.0,0.0,341.0,42909.0,3847.0,6738.0,47097.0
2012,106070988,7,Contra Costa,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY ROAD,WALNUT CREEK,94598,General Acute Care,0.0,500+,BASIC,15673.0,20157.0,0.0,3424.0,3524.0,4145.0,3946.0,4577.0,4378.0,3407.0,3028.0,4760.0,641.0,0.0,1989.0,1675.0,2443.0,72.0,3016.0,702.0,25933.0,163.0,165.0,70.0,34.0,25.0,0.0,34671.0,233.0,341.0,610.0,9253.0,2982.0,20412.0,0.0,579.0,34572.0,679.0,10153.0,35830.0
2012,106070990,7,Contra Costa,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 SOUTH MAIN STREET,WALNUT CREEK,94596,General Acute Care,0.0,200-299,BASIC,20322.0,24523.0,5.0,3989.0,4328.0,4831.0,4526.0,5069.0,6019.0,5052.0,4402.0,5954.0,680.0,0.0,4547.0,2226.0,5659.0,159.0,1203.0,580.0,30476.0,376.0,447.0,66.0,82.0,124.0,17.0,42867.0,358.0,388.0,1594.0,13140.0,564.0,28059.0,0.0,577.0,43039.0,1234.0,8006.0,44850.0
2012,106071018,7,Contra Costa,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,2540 EAST STREET,CONCORD,94520,General Acute Care,0.0,200-299,BASIC,18523.0,24238.0,2.0,5308.0,4317.0,6664.0,5822.0,5954.0,5578.0,3465.0,2439.0,2274.0,942.0,0.0,1179.0,5090.0,10560.0,87.0,6106.0,347.0,19394.0,617.0,316.0,82.0,7.0,50.0,0.0,40346.0,574.0,446.0,14308.0,8944.0,1682.0,10610.0,0.0,577.0,37162.0,5024.0,6661.0,42763.0
2012,106074017,7,Contra Costa,SAN RAMON REGIONAL MEDICAL CENTER,6001 NORRIS CANYON ROAD,SAN RAMON,94583,General Acute Care,0.0,100-149,BASIC,6580.0,7645.0,0.0,1639.0,1741.0,1481.0,1681.0,2183.0,1886.0,1409.0,970.0,1067.0,168.0,0.0,1050.0,666.0,693.0,5.0,1973.0,136.0,9702.0,137.0,192.0,21.0,4.0,51.0,0.0,13709.0,81.0,25.0,194.0,2739.0,638.0,9715.0,0.0,163.0,13998.0,64.0,2666.0,14225.0
2012,106074097,7,Contra Costa,KAISER FOUNDATION HOSPITAL - ANTIOCH,4501 SAND CREEK ROAD,ANTIOCH,94531,General Acute Care,0.0,150-199,BASIC,15578.0,21166.0,1.0,4487.0,4861.0,4991.0,4342.0,4999.0,4358.0,3277.0,2399.0,2220.0,811.0,0.0,2197.0,8336.0,7902.0,139.0,1090.0,454.0,16627.0,228.0,375.0,32.0,28.0,143.0,0.0,35350.0,177.0,159.0,5232.0,6984.0,469.0,21493.0,0.0,317.0,34686.0,1742.0,4133.0,36745.0
2012,106084001,8,Del Norte,SUTTER COAST HOSPITAL,800 EAST WASHINGTON BOULEVARD,CRESCENT CITY,95531,General Acute Care,0.0,1-49,BASIC,9302.0,10462.0,0.0,1709.0,1650.0,3322.0,2732.0,2423.0,2855.0,1869.0,1402.0,1414.0,388.0,0.0,217.0,183.0,1086.0,947.0,153.0,54.0,17124.0,600.0,182.0,36.0,0.0,17.0,0.0,18445.0,3.0,221.0,8383.0,5119.0,1173.0,3047.0,0.0,128.0,19360.0,276.0,1725.0,19764.0
2012,106090793,9,El Dorado,BARTON MEMORIAL HOSPITAL,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,96150,General Acute Care,0.0,100-149,BASIC,7674.0,7460.0,0.0,1339.0,1514.0,3346.0,2185.0,1990.0,2238.0,1332.0,611.0,336.0,243.0,0.0,305.0,256.0,2193.0,26.0,511.0,1.0,11842.0,267.0,193.0,20.0,0.0,1.0,11.0,14526.0,21.0,4.0,4966.0,2078.0,702.0,5093.0,0.0,93.0,14018.0,1023.0,1617.0,15134.0
2012,106090933,9,El Dorado,MARSHALL MEDICAL CENTER,1100 MARSHALL WAY,PLACERVILLE,95667,General Acute Care,0.0,100-149,BASIC,9811.0,11841.0,0.0,2015.0,2405.0,3337.0,2671.0,2706.0,2848.0,1901.0,1526.0,1828.0,415.0,0.0,117.0,173.0,1597.0,99.0,129.0,15.0,19522.0,703.0,420.0,53.0,4.0,93.0,0.0,19796.0,355.0,151.0,7875.0,5186.0,912.0,5828.0,0.0,32.0,21111.0,509.0,3904.0,21652.0
2012,106100005,10,Fresno,CLOVIS COMMUNITY MEDICAL CENTER,2755 HERNDON AVENUE,CLOVIS,93611,General Acute Care,0.0,200-299,BASIC,13246.0,20564.0,1.0,2130.0,3529.0,6981.0,5999.0,4759.0,4065.0,2645.0,1660.0,1642.0,401.0,0.0,14.0,21.0,22360.0,109.0,677.0,8.0,10622.0,332.0,1330.0,36.0,27.0,198.0,2.0,31550.0,223.0,39.0,10996.0,3877.0,3264.0,10584.0,0.0,351.0,32335.0,1125.0,3949.0,33811.0
2012,106100697,10,Fresno,COALINGA REGIONAL MEDICAL CENTER,1191 PHELPS AVENUE,COALINGA,93210,General Acute Care,0.0,100-149,STANDBY,4002.0,3875.0,0.0,1559.0,1006.0,1224.0,1139.0,876.0,925.0,467.0,264.0,122.0,295.0,0.0,82.0,367.0,4837.0,9.0,62.0,4.0,2516.0,764.0,190.0,11.0,0.0,1.0,1.0,6890.0,0.0,20.0,1118.0,735.0,1172.0,4496.0,0.0,24.0,5977.0,1876.0,340.0,7877.0
2012,106100717,10,Fresno,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,2823 FRESNO STREET,FRESNO,93721,General Acute Care,1.0,500+,COMPREHENSIVE,37091.0,35187.0,0.0,3964.0,5992.0,15401.0,13049.0,12885.0,11594.0,4875.0,1945.0,1455.0,1118.0,0.0,26.0,153.0,34185.0,73.0,1628.0,16.0,36197.0,861.0,2652.0,257.0,19.0,46.0,13.0,64239.0,2273.0,619.0,29686.0,6969.0,15287.0,4709.0,0.0,1091.0,60944.0,10243.0,22588.0,72278.0
2012,106100797,10,Fresno,ADVENTIST HEALTH REEDLEY,372 WEST CYPRESS AVENUE,REEDLEY,93654,General Acute Care,0.0,1-49,STANDBY,7571.0,9576.0,0.0,3790.0,2462.0,3052.0,2212.0,1625.0,1139.0,821.0,600.0,561.0,885.0,0.0,76.0,76.0,5413.0,19.0,305.0,85.0,11173.0,629.0,587.0,27.0,0.0,4.0,0.0,15824.0,0.0,8.0,9395.0,1811.0,224.0,2358.0,0.0,22.0,12553.0,4572.0,693.0,17147.0
2012,106100899,10,Fresno,ST. AGNES MEDICAL CENTER,1303 EAST HERNDON AVENUE,FRESNO,93720,General Acute Care,0.0,300-499,BASIC,20141.0,33572.0,0.0,3045.0,4806.0,11047.0,8829.0,7111.0,6455.0,4366.0,3266.0,4140.0,648.0,0.0,1715.0,6390.0,19937.0,226.0,1389.0,586.0,23470.0,331.0,546.0,57.0,5.0,12.0,16.0,51792.0,725.0,91.0,24130.0,11944.0,1054.0,10883.0,0.0,843.0,50732.0,2138.0,14390.0,53713.0
2012,106104062,10,Fresno,KAISER FOUNDATION HOSPITAL - FRESNO,7300 NORTH FRESNO STREET,FRESNO,93720,General Acute Care,0.0,150-199,BASIC,10308.0,14082.0,1.0,2086.0,2620.0,2762.0,2440.0,2629.0,2784.0,2684.0,2916.0,3140.0,330.0,0.0,1282.0,2095.0,8495.0,143.0,311.0,67.0,11998.0,74.0,141.0,35.0,15.0,3.0,1.0,23351.0,271.0,220.0,590.0,7969.0,404.0,14396.0,0.0,213.0,22962.0,1216.0,4262.0,24391.0
2012,106110889,11,Glenn,GLENN MEDICAL CENTER,1133 WEST SYCAMORE STREET,WILLOWS,95988,General Acute Care,0.0,1-49,STANDBY,2371.0,2803.0,0.0,497.0,605.0,985.0,787.0,594.0,581.0,431.0,344.0,258.0,92.0,0.0,88.0,70.0,936.0,100.0,48.0,0.0,3932.0,218.0,45.0,6.0,0.0,0.0,1.0,4649.0,81.0,67.0,1965.0,1114.0,415.0,912.0,0.0,3.0,5084.0,87.0,296.0,5174.0
2012,106121002,12,Humboldt,MAD RIVER COMMUNITY HOSPITAL,3800 JANES ROAD,ARCATA,95521,General Acute Care,0.0,50-99,BASIC,6807.0,7232.0,5.0,1132.0,1506.0,3146.0,2283.0,1546.0,1725.0,1155.0,719.0,620.0,212.0,0.0,78.0,276.0,530.0,1304.0,137.0,2.0,11717.0,284.0,190.0,33.0,0.0,0.0,10.0,13377.0,82.0,2.0,3578.0,2930.0,1785.0,3481.0,0.0,63.0,13823.0,158.0,1178.0,14044.0
2012,106121031,12,Humboldt,JEROLD PHELPS COMMUNITY HOSPITAL,733 CEDAR STREET,GARBERVILLE,95542,General Acute Care,0.0,1-49,STANDBY,1490.0,1180.0,0.0,167.0,213.0,572.0,475.0,320.0,363.0,316.0,102.0,125.0,17.0,0.0,24.0,49.0,125.0,82.0,8.0,2.0,2380.0,14.0,78.0,8.0,0.0,0.0,0.0,2334.0,15.0,1.0,673.0,488.0,85.0,510.0,0.0,26.0,2611.0,33.0,21.0,2670.0
2012,106121051,12,Humboldt,REDWOOD MEMORIAL HOSPITAL,3300 RENNER DRIVE,FORTUNA,95540,General Acute Care,0.0,1-49,BASIC,5153.0,6201.0,0.0,1065.0,1144.0,1943.0,1649.0,1268.0,1534.0,1021.0,716.0,796.0,218.0,0.0,42.0,85.0,690.0,227.0,234.0,53.0,10023.0,484.0,105.0,22.0,7.0,10.0,8.0,10530.0,18.0,32.0,3693.0,2835.0,955.0,2310.0,0.0,33.0,10966.0,355.0,884.0,11354.0
2012,106121080,12,Humboldt,ST. JOSEPH HOSPITAL - EUREKA,2700 DOLBEER STREET,EUREKA,95501,General Acute Care,0.0,100-149,BASIC,9913.0,10415.0,1.0,1419.0,1635.0,3892.0,3083.0,2853.0,2951.0,1937.0,1171.0,1067.0,321.0,0.0,291.0,555.0,780.0,897.0,499.0,412.0,16895.0,166.0,171.0,59.0,11.0,12.0,5.0,19221.0,198.0,12.0,6138.0,4911.0,2385.0,4109.0,0.0,171.0,19862.0,296.0,3887.0,20329.0
2012,106130699,13,Imperial,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,92243,General Acute Care,0.0,150-199,BASIC,18712.0,22025.0,7.0,6433.0,5183.0,6193.0,4901.0,4408.0,4145.0,3233.0,2467.0,2358.0,1423.0,0.0,113.0,859.0,33580.0,15.0,817.0,158.0,5202.0,485.0,674.0,52.0,0.0,30.0,0.0,39231.0,7.0,9.0,19065.0,7625.0,1570.0,8724.0,0.0,28.0,25789.0,14927.0,4823.0,40744.0
2012,106130760,13,Imperial,PIONEERS MEMORIAL HEALTHCARE DISTRICT,207 WEST LEGION ROAD,BRAWLEY,92227,General Acute Care,0.0,100-149,BASIC,17713.0,22691.0,1.0,7502.0,5632.0,6723.0,5512.0,4577.0,3684.0,2419.0,1468.0,1179.0,1709.0,0.0,93.0,737.0,22184.0,20.0,1585.0,218.0,15568.0,551.0,415.0,33.0,0.0,26.0,0.0,38880.0,0.0,22.0,19857.0,4774.0,1429.0,11020.0,0.0,28.0,32928.0,7449.0,2669.0,40405.0
2012,106141273,14,Inyo,NORTHERN INYO HOSPITAL,150 PIONEER LANE,BISHOP,93514,General Acute Care,0.0,1-49,BASIC,3747.0,3995.0,1.0,809.0,883.0,1032.0,790.0,906.0,985.0,782.0,635.0,755.0,166.0,0.0,36.0,34.0,1049.0,884.0,35.0,43.0,5662.0,166.0,77.0,14.0,0.0,2.0,2.0,7187.0,11.0,18.0,1885.0,2005.0,430.0,2613.0,0.0,65.0,7281.0,397.0,491.0,7743.0
2012,106141338,14,Inyo,SOUTHERN INYO HOSPITAL,501 EAST LOCUST STREET,LONE PINE,93545,General Acute Care,0.0,1-49,STANDBY,624.0,484.0,0.0,103.0,98.0,159.0,139.0,136.0,159.0,115.0,100.0,69.0,30.0,0.0,12.0,12.0,137.0,92.0,6.0,1.0,848.0,58.0,12.0,8.0,0.0,0.0,0.0,1000.0,0.0,2.0,183.0,253.0,86.0,384.0,0.0,18.0,1086.0,4.0,71.0,1108.0
2012,106150706,15,Kern,DELANO REGIONAL MEDICAL CENTER,1401 GARCES HIGHWAY,DELANO,93215,General Acute Care,0.0,150-199,BASIC,10340.0,11668.0,1.0,4989.0,3270.0,3433.0,2807.0,2024.0,1657.0,1106.0,720.0,567.0,1436.0,0.0,788.0,441.0,18595.0,7.0,637.0,43.0,1498.0,415.0,0.0,57.0,0.0,0.0,477.0,20985.0,0.0,61.0,12164.0,2107.0,775.0,2966.0,0.0,67.0,15181.0,6761.0,1595.0,22009.0
2012,106150722,15,Kern,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH STREET,BAKERSFIELD,93301,General Acute Care,0.0,300-499,BASIC,24653.0,34879.0,0.0,14576.0,7770.0,10888.0,6769.0,5067.0,4462.0,2357.0,1503.0,1211.0,4929.0,0.0,372.0,6284.0,33163.0,82.0,2029.0,61.0,17541.0,278.0,393.0,48.0,7.0,0.0,8.0,58549.0,57.0,31.0,37477.0,6477.0,1038.0,6880.0,0.0,207.0,51832.0,7493.0,9168.0,59532.0
2012,106150736,15,Kern,KERN MEDICAL CENTER,1700 MOUNT VERNON AVENUE,BAKERSFIELD,93306,General Acute Care,1.0,200-299,BASIC,18793.0,16308.0,0.0,3001.0,3700.0,7749.0,5758.0,6019.0,5353.0,1840.0,359.0,150.0,1172.0,0.0,276.0,3972.0,16568.0,78.0,2345.0,638.0,11224.0,1.0,4470.0,107.0,2.0,0.0,0.0,28276.0,3.0,0.0,17570.0,1660.0,748.0,4611.0,0.0,168.0,28513.0,6420.0,4735.0,35101.0
2012,106150737,15,Kern,KERN VALLEY HEALTHCARE DISTRICT,6412 LAUREL AVENUE,LAKE ISABELLA,93240,General Acute Care,0.0,100-149,STANDBY,2943.0,3135.0,0.0,402.0,651.0,695.0,626.0,670.0,983.0,743.0,640.0,583.0,85.0,0.0,14.0,44.0,328.0,37.0,417.0,120.0,5118.0,810.0,188.0,24.0,3.0,59.0,2.0,4884.0,17.0,29.0,686.0,1490.0,157.0,2945.0,0.0,26.0,6041.0,11.0,593.0,6078.0
2012,106150761,15,Kern,MERCY HOSPITAL - BAKERSFIELD,2215 TRUXTUN AVENUE,BAKERSFIELD,93301,General Acute Care,0.0,100-149,BASIC,25538.0,33770.0,0.0,9816.0,7982.0,11777.0,8569.0,6438.0,5541.0,3224.0,1805.0,1735.0,2421.0,0.0,834.0,7458.0,23973.0,100.0,1288.0,135.0,25520.0,755.0,597.0,131.0,3.0,3.0,17.0,57553.0,127.0,21.0,23501.0,8595.0,1538.0,15838.0,0.0,292.0,54296.0,4720.0,6897.0,59308.0
2012,106150782,15,Kern,RIDGECREST REGIONAL HOSPITAL,1081 NORTH CHINA LAKE BLVD.,RIDGECREST,93555,General Acute Care,0.0,50-99,BASIC,6324.0,8227.0,0.0,1677.0,1465.0,2377.0,1878.0,1756.0,1760.0,1325.0,1054.0,926.0,333.0,0.0,171.0,926.0,1804.0,7.0,367.0,211.0,11065.0,464.0,128.0,52.0,1.0,10.0,0.0,13636.0,18.0,77.0,3909.0,3160.0,1519.0,3799.0,0.0,26.0,14143.0,382.0,1332.0,14551.0
