,datayear,oshpd_id2,county_name,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,LICENSE_CATEGORY_DESC,control_type_desc,TRAUMA_CENTER_DESC,ed_lic_levl_end,rural_hospital_desc,teaching_hospital_desc,licensed_bed_size,mssa_designation,Sex_Male,Sex_Female,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Islander,Black,Hispanic or Latino,Native_American_Eskimo_Aleut,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Hospice_Care,Home_Health_Service,Residential_Care,Routine,Psychiatric_Care,SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,ED_Visit,All_Other_Languages,English,Spanish
10,,106014233,ALAMEDA,20103 LAKE CHABOT RD,CASTRO VALLEY,94546,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,100-149,Urban,16312.0,21130.0,1.0,2862.0,2847.0,6559.0,6159.0,4558.0,5121.0,4019.0,2361.0,2329.0,628.0,,4369.0,7815.0,11053.0,118.0,6994.0,155.0,17992.0,500.0,292.0,72.0,18.0,40.0,131.0,35038.0,732.0,384.0,16829.0,7085.0,642.0,9313.0,3574.0,37443.0,1267.0,33442.0,2734.0
11,,106014326,ALAMEDA,275 W. MACARTHUR BLVD.,OAKLAND,94611,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,300-499,Urban,52876.0,64677.0,14.0,10114.0,9449.0,19551.0,17839.0,14464.0,14725.0,12969.0,9169.0,7550.0,1737.0,,11792.0,43445.0,29242.0,548.0,30559.0,2111.0,29112.0,1104.0,2340.0,108.0,96.0,227.0,27.0,111172.0,1170.0,720.0,32816.0,24061.0,2591.0,46832.0,11262.0,117567.0,2904.0,105437.0,9226.0
12,,106014337,ALAMEDA,2500 MERCED STREET,SAN LEANDRO,94577,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,200-299,Urban,30033.0,37638.0,7.0,6427.0,5606.0,10522.0,9249.0,8031.0,8705.0,7470.0,5239.0,5242.0,1187.0,,12084.0,16010.0,21233.0,328.0,20765.0,1038.0,17453.0,569.0,1358.0,64.0,79.0,903.0,37.0,62744.0,744.0,910.0,10910.0,14403.0,1545.0,37062.0,3757.0,67678.0,2090.0,59643.0,5945.0
13,,106034002,AMADOR,200 MISSION BLVD,JACKSON,95642,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,SMALL/RURAL,,50-99,Rural,9641.0,11165.0,,1784.0,1700.0,2598.0,2465.0,2246.0,2814.0,2831.0,2311.0,1756.0,301.0,,217.0,281.0,1877.0,335.0,969.0,423.0,18581.0,727.0,134.0,18.0,7.0,24.0,15.0,19287.0,54.0,51.0,7730.0,6321.0,1136.0,4392.0,1227.0,20806.0,72.0,20472.0,262.0
14,,106040802,BUTTE,240 SPRUCE STREET,GRIDLEY,95948,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Standby,SMALL/RURAL,,100-149,Rural,4591.0,5815.0,,1435.0,1205.0,1549.0,1554.0,1332.0,1211.0,919.0,562.0,451.0,188.0,,296.0,175.0,3205.0,25.0,2580.0,35.0,7295.0,395.0,275.0,9.0,,13.0,45.0,9573.0,18.0,39.0,6330.0,2063.0,21.0,1302.0,690.0,10406.0,46.0,9152.0,1208.0
15,,106040875,BUTTE,5974 PENTZ ROAD,PARADISE,95969,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,100-149,Rural,9323.0,12567.0,1.0,1987.0,1834.0,2815.0,2815.0,2110.0,2865.0,2838.0,2129.0,2040.0,449.0,9.0,161.0,158.0,1000.0,58.0,899.0,217.0,20397.0,441.0,459.0,28.0,13.0,55.0,,20509.0,122.0,132.0,10242.0,7317.0,481.0,3014.0,837.0,21891.0,40.0,21753.0,98.0
16,,106040937,BUTTE,2767 OLIVE HIGHWAY,OROVILLE,95966,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,100-149,Rural,5429.0,5873.0,,1093.0,1030.0,1934.0,1931.0,1377.0,1513.0,1119.0,603.0,416.0,286.0,,382.0,475.0,983.0,291.0,920.0,83.0,9151.0,255.0,768.0,36.0,,1.0,2.0,9823.0,208.0,3.0,6079.0,2347.0,485.0,1588.0,803.0,11302.0,127.0,10976.0,199.0
17,,106040962,BUTTE,1531 ESPLANADE,CHICO,95926,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,200-299,Urban,26054.0,31608.0,1.0,5097.0,5851.0,10880.0,8457.0,6163.0,6308.0,6038.0,4127.0,3568.0,1174.0,,895.0,2147.0,3771.0,742.0,12740.0,308.0,40831.0,219.0,1223.0,76.0,1.0,2.0,59.0,55027.0,341.0,99.0,25905.0,13641.0,1599.0,13041.0,3477.0,57663.0,532.0,53564.0,3567.0
18,,106050932,CALAVERAS,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,SMALL/RURAL,,1-49,Rural,5116.0,5740.0,,820.0,1091.0,1287.0,1348.0,1212.0,1579.0,1402.0,1107.0,898.0,112.0,,97.0,135.0,626.0,40.0,269.0,60.0,10255.0,412.0,272.0,19.0,1.0,24.0,,9854.0,85.0,60.0,4744.0,3105.0,321.0,2263.0,423.0,10856.0,46.0,10646.0,164.0
19,,106060870,COLUSA,199 E WEBSTER STREET,COLUSA,95932,General Acute Care Hospital,Investor - Limited Liability Company,,,SMALL/RURAL,,1-49,Rural,2862.0,3446.0,,1130.0,820.0,852.0,845.0,650.0,675.0,514.0,394.0,284.0,144.0,,67.0,116.0,3341.0,66.0,,45.0,6014.0,213.0,161.0,7.0,,3.0,4.0,5715.0,17.0,26.0,3489.0,1007.0,182.0,1041.0,589.0,6308.0,7.0,5190.0,1111.0
20,,106070924,CONTRA COSTA,2500 ALHAMBRA AVENUE,MARTINEZ,94553,General Acute Care Hospital,City or County,,Basic,,,150-199,Urban,20252.0,20098.0,6.0,1752.0,3486.0,7631.0,7919.0,6105.0,6333.0,4455.0,1525.0,687.0,463.0,,4240.0,7282.0,15098.0,198.0,13064.0,811.0,14761.0,244.0,843.0,2.0,12.0,406.0,172.0,35917.0,976.0,806.0,22064.0,5366.0,3843.0,4273.0,4810.0,40356.0,2046.0,31002.0,7308.0
21,,106070934,CONTRA COSTA,3901 LONE TREE WAY,ANTIOCH,94509,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,100-149,Urban,19968.0,26322.0,,5643.0,5153.0,8233.0,7306.0,5639.0,5711.0,3800.0,2139.0,1611.0,1055.0,,3006.0,13745.0,14374.0,112.0,10811.0,154.0,18462.0,626.0,497.0,76.0,4.0,63.0,79.0,44344.0,264.0,154.0,26141.0,6800.0,640.0,7592.0,5117.0,46290.0,820.0,40808.0,4662.0
22,,106070988,CONTRA COSTA,1601 YGNACIO VALLEY ROAD,WALNUT CREEK,94598,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,500+,Urban,18213.0,23567.0,3.0,4354.0,3391.0,4583.0,4936.0,4352.0,4897.0,4408.0,4397.0,5379.0,1086.0,,3961.0,2674.0,7227.0,214.0,4020.0,1445.0,29469.0,202.0,303.0,54.0,48.0,401.0,3.0,39585.0,321.0,685.0,1210.0,21331.0,961.0,16486.0,1793.0,41783.0,1151.0,38860.0,1772.0
23,,106070990,CONTRA COSTA,1425 SOUTH MAIN STREET,WALNUT CREEK,94596,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,200-299,Urban,26513.0,31699.0,,4830.0,4703.0,6128.0,6177.0,5922.0,7269.0,6905.0,6737.0,8676.0,865.0,,7559.0,3472.0,7734.0,253.0,8042.0,1593.0,37293.0,843.0,721.0,95.0,205.0,775.0,174.0,54092.0,509.0,641.0,4565.0,18403.0,634.0,32761.0,1847.0,58212.0,751.0,56263.0,1198.0
24,,106071018,CONTRA COSTA,2540 EAST STREET,CONCORD,94520,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,200-299,Urban,22659.0,28344.0,6.0,5165.0,5227.0,7374.0,7586.0,6361.0,6677.0,5515.0,3493.0,2818.0,793.0,,3704.0,6601.0,18221.0,150.0,8605.0,493.0,31456.0,845.0,548.0,69.0,21.0,156.0,2.0,48140.0,612.0,300.0,3367.0,32924.0,946.0,9330.0,4441.0,51009.0,1112.0,42358.0,7539.0
25,,106074017,CONTRA COSTA,6001 NORRIS CANYON ROAD,SAN RAMON,94583,General Acute Care Hospital,Investor - Corporation,,Basic,,,100-149,Urban,7240.0,9044.0,2.0,1364.0,1736.0,1587.0,1911.0,2340.0,2255.0,1840.0,1627.0,1429.0,197.0,,1772.0,824.0,903.0,25.0,3032.0,108.0,10525.0,200.0,69.0,27.0,3.0,96.0,,15748.0,72.0,47.0,2646.0,3744.0,543.0,8689.0,654.0,16286.0,217.0,15986.0,83.0
26,,106074097,CONTRA COSTA,4501 SAND CREEK ROAD,ANTIOCH,94531,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,150-199,Urban,25527.0,33111.0,1.0,6802.0,6157.0,8704.0,7597.0,7005.0,7232.0,5907.0,4526.0,3613.0,1096.0,,4616.0,14343.0,14235.0,316.0,14118.0,1071.0,24175.0,456.0,1046.0,46.0,88.0,666.0,8.0,55478.0,304.0,277.0,13099.0,12031.0,789.0,28795.0,3925.0,58639.0,578.0,55250.0,2811.0
27,,106084001,DEL NORTE,800 EAST WASHINGTON BOULEVARD,CRESCENT CITY,95531,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,SMALL/RURAL,,1-49,Rural,8286.0,9048.0,,1442.0,1460.0,2378.0,2466.0,1884.0,2417.0,2193.0,1553.0,1219.0,322.0,,301.0,181.0,1561.0,834.0,1062.0,123.0,14833.0,460.0,199.0,54.0,3.0,8.0,39.0,16217.0,102.0,90.0,8495.0,4745.0,895.0,2251.0,948.0,17334.0,90.0,16921.0,323.0
28,,106090793,EL DORADO,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,96150,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,SMALL/RURAL,,100-149,Rural,8947.0,8682.0,1.0,1727.0,1876.0,3189.0,2764.0,2023.0,2250.0,2017.0,1053.0,481.0,250.0,,583.0,330.0,3295.0,134.0,490.0,449.0,15642.0,439.0,317.0,19.0,,1.0,,16440.0,112.0,4.0,6972.0,2811.0,776.0,5783.0,1288.0,17630.0,173.0,16659.0,798.0
29,,106090933,EL DORADO,1100 MARSHALL WAY,PLACERVILLE,95667,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,SMALL/RURAL,,100-149,Rural,12530.0,14212.0,2.0,2095.0,2619.0,3475.0,3479.0,2797.0,3533.0,3370.0,2589.0,2363.0,424.0,,209.0,260.0,2290.0,148.0,2605.0,293.0,23229.0,1025.0,,38.0,6.0,32.0,,24658.0,310.0,234.0,11646.0,7617.0,755.0,5658.0,962.0,26744.0,90.0,26187.0,467.0
30,,106100005,FRESNO,2755 HERNDON AVENUE,CLOVIS,93611,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,200-299,Rural,22109.0,33557.0,,2481.0,4646.0,11666.0,9708.0,7195.0,7017.0,5348.0,3939.0,3265.0,401.0,,3105.0,2800.0,29464.0,949.0,5441.0,746.0,42599.0,432.0,2333.0,64.0,32.0,55.0,274.0,51033.0,626.0,305.0,24772.0,10938.0,1336.0,13879.0,4741.0,55666.0,844.0,51813.0,3009.0
31,,106100697,FRESNO,1191 PHELPS AVENUE,COALINGA,93210,General Acute Care Hospital,District,,Standby,SMALL/RURAL,,100-149,Rural,1317.0,1538.0,,488.0,490.0,452.0,390.0,316.0,271.0,201.0,111.0,71.0,65.0,,27.0,64.0,1983.0,9.0,1873.0,201.0,681.0,109.0,61.0,4.0,,1.0,46.0,2583.0,5.0,4.0,1707.0,238.0,97.0,583.0,230.0,2855.0,4.0,1927.0,924.0
32,,106100717,FRESNO,2823 FRESNO STREET,FRESNO,93721,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Comprehensive,,Teaching,500+,Urban,41798.0,42709.0,,5320.0,7098.0,18033.0,16847.0,12944.0,11919.0,7054.0,2759.0,1352.0,1180.0,1.0,3556.0,12865.0,40346.0,571.0,4763.0,150.0,62589.0,220.0,8020.0,289.0,28.0,31.0,167.0,72136.0,873.0,549.0,57618.0,10153.0,2073.0,4812.0,9851.0,84507.0,1144.0,72470.0,10893.0
33,,106100797,FRESNO,372 WEST CYPRESS AVENUE,REEDLEY,93654,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Standby,SMALL/RURAL,,1-49,Rural,16344.0,21727.0,1.0,7763.0,5951.0,6405.0,5261.0,3998.0,3043.0,2210.0,1243.0,947.0,1251.0,,87.0,118.0,32722.0,8.0,1561.0,133.0,36139.0,1045.0,765.0,37.0,5.0,13.0,1.0,36016.0,32.0,39.0,28227.0,3543.0,493.0,3814.0,1995.0,38072.0,58.0,24439.0,13575.0
34,,106100899,FRESNO,1303 EAST HERNDON AVENUE,FRESNO,93720,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,300-499,Urban,27448.0,44668.0,,2406.0,5337.0,16530.0,13077.0,9622.0,9008.0,6912.0,4480.0,4318.0,426.0,,3001.0,8136.0,32287.0,346.0,5271.0,366.0,54996.0,580.0,5076.0,122.0,9.0,188.0,145.0,65170.0,555.0,129.0,40695.0,14375.0,1758.0,12522.0,2766.0,72116.0,1023.0,65669.0,5424.0
35,,106104062,FRESNO,7300 NORTH FRESNO STREET,FRESNO,93720,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,150-199,Urban,16378.0,21775.0,2.0,2544.0,2956.0,5404.0,4614.0,4041.0,4553.0,4646.0,4474.0,4513.0,410.0,,2397.0,3382.0,15075.0,303.0,14588.0,422.0,17063.0,99.0,738.0,43.0,64.0,289.0,1.0,35901.0,456.0,332.0,3838.0,12048.0,893.0,19948.0,1426.0,38155.0,465.0,35564.0,2126.0
36,,106110889,GLENN,1133 WEST SYCAMORE STREET,WILLOWS,95988,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Standby,SMALL/RURAL,,1-49,Frontier,2654.0,3094.0,,560.0,541.0,910.0,859.0,617.0,748.0,644.0,440.0,347.0,82.0,,116.0,112.0,1170.0,171.0,1053.0,79.0,4217.0,561.0,118.0,4.0,,,1.0,4767.0,49.0,46.0,2759.0,1449.0,184.0,786.0,570.0,5748.0,28.0,5416.0,304.0
37,,106121002,HUMBOLDT,3800 JANES ROAD,ARCATA,95521,General Acute Care Hospital,Investor - Corporation,,Basic,,,50-99,Rural,7231.0,7854.0,1.0,1144.0,1380.0,3164.0,2588.0,1829.0,1700.0,1461.0,980.0,669.0,171.0,,215.0,500.0,1630.0,1891.0,589.0,4.0,11887.0,424.0,282.0,28.0,,6.0,2.0,14166.0,17.0,2.0,7497.0,3089.0,917.0,2933.0,649.0,15086.0,113.0,14663.0,310.0
38,,106121031,HUMBOLDT,733 CEDAR STREET,GARBERVILLE,95542,General Acute Care Hospital,District,,Standby,SMALL/RURAL,,1-49,Frontier,1585.0,1301.0,,174.0,208.0,554.0,585.0,429.0,342.0,306.0,168.0,96.0,24.0,,3.0,,304.0,,40.0,2566.0,277.0,139.0,81.0,9.0,,,2.0,2597.0,2.0,2.0,215.0,471.0,80.0,1691.0,429.0,2886.0,46.0,2719.0,121.0
39,,106121051,HUMBOLDT,3300 RENNER DRIVE,FORTUNA,95540,General Acute Care Hospital,Investor - Limited Liability Company,,Basic,SMALL/RURAL,,1-49,Rural,5177.0,5661.0,,923.0,1002.0,1616.0,1614.0,1175.0,1312.0,1368.0,920.0,750.0,158.0,,62.0,144.0,943.0,307.0,1227.0,148.0,8950.0,614.0,181.0,25.0,,3.0,8.0,9890.0,19.0,19.0,4768.0,2725.0,522.0,1939.0,884.0,10838.0,34.0,10465.0,339.0
40,,106121080,HUMBOLDT,2700 DOLBEER STREET,EUREKA,95501,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,100-149,Rural,13006.0,13114.0,,1709.0,2052.0,4454.0,4343.0,3314.0,3444.0,3102.0,1910.0,1448.0,344.0,,611.0,863.0,1153.0,1213.0,2240.0,884.0,20309.0,326.0,599.0,71.0,7.0,5.0,55.0,23975.0,223.0,58.0,11794.0,6213.0,1292.0,4628.0,2193.0,26120.0,152.0,25678.0,290.0
41,,106130699,IMPERIAL,1415 ROSS AVENUE,EL CENTRO,92243,General Acute Care Hospital,City or County,,Basic,,,150-199,Rural,19262.0,22603.0,,5384.0,4895.0,5892.0,5042.0,4356.0,4658.0,4778.0,3022.0,2871.0,966.0,1.0,194.0,885.0,36384.0,40.0,28351.0,298.0,12096.0,909.0,908.0,69.0,2.0,42.0,1.0,39291.0,8.0,25.0,23036.0,9863.0,1176.0,5647.0,2142.0,41865.0,36.0,23882.0,17947.0
42,,106130760,IMPERIAL,207 WEST LEGION ROAD,BRAWLEY,92227,General Acute Care Hospital,District,,Basic,SMALL/RURAL,,100-149,Rural,19146.0,23251.0,,6815.0,5566.0,6973.0,6070.0,4468.0,4157.0,3586.0,2061.0,1546.0,1155.0,,112.0,796.0,35412.0,86.0,153.0,71.0,41179.0,881.0,719.0,29.0,2.0,36.0,,39232.0,43.0,65.0,2772.0,5134.0,1052.0,32248.0,1191.0,42397.0,34.0,30429.0,11934.0
43,,106141273,INYO,150 PIONEER LANE,BISHOP,93514,General Acute Care Hospital,District,,Basic,SMALL/RURAL,,1-49,Rural,4149.0,4511.0,,840.0,833.0,1101.0,1126.0,911.0,963.0,1014.0,916.0,810.0,146.0,,83.0,85.0,1495.0,1253.0,157.0,7.0,7075.0,228.0,138.0,9.0,3.0,6.0,1.0,7839.0,4.0,29.0,1554.0,2385.0,518.0,3618.0,585.0,8660.0,53.0,8176.0,431.0
44,,106141338,INYO,501 EAST LOCUST STREET,LONE PINE,93545,General Acute Care Hospital,District,,Standby,SMALL/RURAL,,1-49,Frontier,780.0,665.0,,121.0,109.0,191.0,155.0,131.0,209.0,242.0,130.0,142.0,15.0,,21.0,29.0,242.0,119.0,207.0,,1069.0,76.0,34.0,6.0,,,,1262.0,,,322.0,424.0,81.0,420.0,198.0,1445.0,37.0,1360.0,48.0
45,,106150706,KERN,1401 GARCES HIGHWAY,DELANO,93215,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,150-199,Urban,12589.0,14741.0,1.0,4991.0,4226.0,4538.0,3778.0,2811.0,2391.0,1731.0,1121.0,730.0,1014.0,,1221.0,457.0,23047.0,62.0,16290.0,107.0,9194.0,388.0,182.0,43.0,,,486.0,26096.0,,116.0,17329.0,2548.0,804.0,4211.0,2439.0,27331.0,131.0,16610.0,10590.0
46,,106150722,KERN,420 34TH STREET,BAKERSFIELD,93301,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,300-499,Urban,35372.0,44647.0,2.0,19794.0,9489.0,12580.0,9479.0,6801.0,6470.0,4679.0,2721.0,1950.0,6058.0,,881.0,7889.0,46542.0,773.0,11416.0,1031.0,58031.0,405.0,3078.0,72.0,31.0,94.0,13.0,75823.0,52.0,193.0,56705.0,8990.0,579.0,9129.0,4613.0,80021.0,320.0,68535.0,11166.0
47,,106150736,KERN,1700 MOUNT VERNON AVENUE,BAKERSFIELD,93306,General Acute Care Hospital,City or County,,Basic,,Teaching,200-299,Urban,22238.0,20878.0,,3849.0,4238.0,9606.0,8256.0,6280.0,5617.0,2915.0,835.0,360.0,1160.0,,198.0,4595.0,26220.0,48.0,2740.0,468.0,35067.0,44.0,4064.0,31.0,3.0,,,35115.0,20.0,,30543.0,2922.0,254.0,4345.0,5051.0,43116.0,251.0,32831.0,10034.0
48,,106150737,KERN,6412 LAUREL AVENUE,LAKE ISABELLA,93240,General Acute Care Hospital,District,,Standby,SMALL/RURAL,,100-149,Frontier,3192.0,3778.0,,483.0,511.0,650.0,717.0,684.0,1138.0,1193.0,873.0,663.0,58.0,,26.0,43.0,553.0,107.0,397.0,143.0,6254.0,1251.0,619.0,22.0,2.0,2.0,,5041.0,2.0,12.0,326.0,1433.0,105.0,4836.0,270.0,6970.0,34.0,6888.0,48.0
49,,106150761,KERN,2215 TRUXTUN AVENUE,BAKERSFIELD,93301,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,100-149,Urban,31527.0,43184.0,2.0,8846.0,8475.0,15305.0,12456.0,9408.0,7900.0,5300.0,2990.0,2338.0,1695.0,,1573.0,8710.0,37166.0,180.0,11677.0,1653.0,50920.0,798.0,2303.0,61.0,38.0,59.0,10.0,70593.0,78.0,169.0,44448.0,10224.0,1415.0,14187.0,4438.0,74713.0,823.0,65871.0,8019.0
50,,106150782,KERN,1081 NORTH CHINA LAKE BLVD.,RIDGECREST,93555,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,SMALL/RURAL,,50-99,Rural,7901.0,9857.0,3.0,1796.0,1776.0,2683.0,2591.0,1941.0,2220.0,1894.0,1330.0,1107.0,423.0,,319.0,1240.0,2839.0,84.0,2499.0,1006.0,12613.0,618.0,137.0,32.0,,9.0,3.0,16612.0,48.0,60.0,7733.0,3856.0,1540.0,4063.0,569.0,17761.0,95.0,17139.0,527.0
51,,106150788,KERN,2615 CHESTER AVENUE,BAKERSFIELD,93301,General Acute Care Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,200-299,Urban,28159.0,34211.0,1.0,5610.0,5404.0,10900.0,9584.0,8110.0,8100.0,6368.0,4047.0,2875.0,1373.0,,704.0,6931.0,31265.0,174.0,22769.0,737.0,30938.0,364.0,2892.0,88.0,40.0,24.0,132.0,56334.0,57.0,267.0,31431.0,12351.0,3217.0,10878.0,4492.0,62371.0,243.0,52921.0,9207.0
