,datayear,oshpd_id2,county_name,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,license_type_desc,control_type_desc,TRAUMA_CENTER_DESC,ed_lic_levl_end,rural_hospital_desc,teaching_hospital_desc,licensed_bed_size,mssa_designation,Sex_Male,Sex_Female,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Islander,Black,Hispanic,Native_American_Eskimo_Aleut,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Hospice_Care,Home_Health_Service,Residential_Care,Routine,Psychiatric_Care,SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,ED_Visit,All_Other_Languages,English,Spanish
10,,106014233,ALAMEDA,20103 LAKE CHABOT RD,CASTRO VALLEY,94546,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,100-149,Urban,17049.0,22106.0,1.0,3256.0,3033.0,7015.0,6256.0,5007.0,5492.0,3862.0,2139.0,2398.0,698.0,,3981.0,7742.0,11175.0,78.0,1495.0,198.0,14487.0,446.0,429.0,52.0,35.0,104.0,27.0,36604.0,770.0,312.0,18531.0,7068.0,899.0,9444.0,3197.0,39156.0,1257.0,35128.0,2771.0
11,,106014326,ALAMEDA,275 W. MACARTHUR BLVD.,OAKLAND,94611,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,300-499,Urban,50007.0,63310.0,8.0,10157.0,9649.0,19593.0,16546.0,13909.0,14737.0,11911.0,7635.0,7326.0,1861.0,1.0,10507.0,43650.0,26861.0,395.0,3077.0,1766.0,27069.0,988.0,2013.0,117.0,96.0,272.0,16.0,107406.0,1121.0,779.0,33883.0,22046.0,2311.0,43756.0,11329.0,113325.0,2565.0,102125.0,8635.0
12,,106014337,ALAMEDA,2500 MERCED STREET,SAN LEANDRO,94577,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,200-299,Urban,26970.0,33297.0,4.0,6136.0,5575.0,9489.0,8216.0,7023.0,7357.0,6252.0,4171.0,4905.0,1147.0,,10061.0,13639.0,18685.0,223.0,1174.0,1051.0,15438.0,487.0,1147.0,64.0,76.0,599.0,9.0,55936.0,649.0,1025.0,10427.0,12513.0,1220.0,32635.0,3476.0,60271.0,1708.0,53081.0,5482.0
13,,106034002,AMADOR,200 MISSION BLVD,JACKSON,95642,Hospital,Non-profit Corporation (incl. Church-related),,Basic,SMALL/RURAL,,50-99,Rural,9960.0,12042.0,,2031.0,2004.0,2893.0,2858.0,2434.0,3051.0,2876.0,1799.0,1673.0,383.0,,193.0,306.0,1941.0,236.0,186.0,515.0,18625.0,371.0,143.0,19.0,7.0,53.0,21.0,20654.0,115.0,47.0,9074.0,5740.0,941.0,4977.0,1270.0,22002.0,68.0,21614.0,320.0
14,,106040802,BUTTE,240 SPRUCE STREET,GRIDLEY,95948,Hospital,Non-profit Corporation (incl. Church-related),,Standby,SMALL/RURAL,,1-49,Rural,4485.0,5481.0,,1382.0,1158.0,1462.0,1486.0,1404.0,1211.0,756.0,501.0,371.0,235.0,,358.0,133.0,2979.0,38.0,301.0,17.0,6140.0,243.0,157.0,4.0,,3.0,70.0,9472.0,7.0,7.0,6119.0,1735.0,32.0,1252.0,828.0,9966.0,35.0,8620.0,1311.0
15,,106040875,BUTTE,5974 PENTZ ROAD,PARADISE,95969,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,100-149,Rural,10736.0,14819.0,,2663.0,2138.0,3546.0,3424.0,2611.0,3384.0,2888.0,2122.0,2271.0,508.0,,117.0,172.0,1073.0,33.0,334.0,248.0,23578.0,385.0,387.0,34.0,11.0,30.0,1.0,24276.0,161.0,134.0,12551.0,7970.0,590.0,3452.0,992.0,25555.0,16.0,25452.0,87.0
16,,106040937,BUTTE,2767 OLIVE HIGHWAY,OROVILLE,95966,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,100-149,Rural,9357.0,10711.0,,2131.0,1941.0,3409.0,3343.0,2698.0,2717.0,1766.0,903.0,625.0,535.0,,602.0,828.0,1358.0,516.0,393.0,134.0,16237.0,265.0,820.0,48.0,,,,18479.0,250.0,3.0,11895.0,3999.0,576.0,2391.0,1207.0,20068.0,293.0,19470.0,305.0
17,,106040962,BUTTE,1531 ESPLANADE,CHICO,95926,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,200-299,Urban,22581.0,27223.0,,4350.0,5036.0,10020.0,7216.0,5569.0,6075.0,4612.0,2843.0,3005.0,1078.0,,614.0,1831.0,8696.0,491.0,2716.0,176.0,35280.0,254.0,884.0,70.0,,,126.0,47361.0,651.0,94.0,23932.0,11007.0,1152.0,11560.0,2153.0,49804.0,482.0,46219.0,3103.0
18,,106050932,CALAVERAS,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,Hospital,Non-profit Corporation (incl. Church-related),,Basic,SMALL/RURAL,,1-49,Rural,5721.0,6748.0,,1015.0,1384.0,1557.0,1577.0,1491.0,1789.0,1548.0,1144.0,835.0,129.0,,111.0,124.0,654.0,66.0,70.0,121.0,11323.0,475.0,355.0,16.0,3.0,17.0,,11334.0,95.0,37.0,5661.0,3245.0,307.0,2695.0,561.0,12469.0,48.0,12231.0,190.0
19,,106060870,COLUSA,199 EAST WEBSTER STREET,COLUSA,95932,Hospital,Non-profit Corporation (incl. Church-related),,Standby,SMALL/RURAL,,50-99,Rural,939.0,1179.0,,312.0,269.0,353.0,259.0,207.0,208.0,178.0,148.0,125.0,59.0,,24.0,19.0,954.0,33.0,5.0,1.0,1082.0,93.0,57.0,4.0,,,,1899.0,6.0,9.0,1144.0,403.0,92.0,332.0,147.0,2118.0,13.0,1618.0,487.0
20,,106070924,CONTRA COSTA,2500 ALHAMBRA AVENUE,MARTINEZ,94553,Hospital,City or County,,Basic,,,150-199,Urban,23298.0,24462.0,26.0,2337.0,3970.0,9190.0,9386.0,7324.0,7892.0,4732.0,1486.0,760.0,709.0,,5256.0,8624.0,15126.0,306.0,2574.0,354.0,15546.0,202.0,1487.0,3.0,,682.0,133.0,42373.0,12.0,1998.0,28551.0,5952.0,4476.0,4904.0,3903.0,47786.0,2479.0,36298.0,9009.0
21,,106070934,CONTRA COSTA,3901 LONE TREE WAY,ANTIOCH,94509,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,100-149,Urban,22785.0,30715.0,,7189.0,6100.0,10130.0,8462.0,6207.0,6304.0,3907.0,2060.0,1685.0,1456.0,,3108.0,14988.0,16813.0,92.0,1332.0,132.0,17035.0,490.0,549.0,42.0,16.0,157.0,19.0,51450.0,188.0,121.0,32497.0,7069.0,944.0,8247.0,4743.0,53500.0,738.0,47352.0,5410.0
22,,106070988,CONTRA COSTA,1601 YGNACIO VALLEY ROAD,WALNUT CREEK,94598,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,500+,Urban,17855.0,23367.0,1.0,4338.0,3714.0,4731.0,4788.0,4252.0,4759.0,4307.0,3880.0,5407.0,1047.0,,3414.0,2458.0,6694.0,183.0,1221.0,1326.0,25927.0,188.0,199.0,59.0,65.0,311.0,1.0,39347.0,256.0,665.0,1182.0,20497.0,1029.0,16547.0,1967.0,41223.0,1226.0,38352.0,1645.0
23,,106070990,CONTRA COSTA,1425 SOUTH MAIN STREET,WALNUT CREEK,94596,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,200-299,Urban,24440.0,29217.0,,4659.0,4533.0,5573.0,5862.0,5544.0,6451.0,6446.0,5743.0,8012.0,833.0,1.0,6221.0,2670.0,7186.0,171.0,1528.0,1037.0,34844.0,686.0,546.0,91.0,185.0,542.0,130.0,50139.0,463.0,535.0,4482.0,16806.0,515.0,29909.0,1944.0,53657.0,613.0,51846.0,1198.0
24,,106071018,CONTRA COSTA,2540 EAST STREET,CONCORD,94520,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,200-299,Urban,23033.0,29385.0,7.0,5957.0,5453.0,8066.0,7636.0,6355.0,7038.0,5181.0,2948.0,2865.0,925.0,1.0,3383.0,6336.0,18180.0,115.0,2555.0,546.0,21310.0,816.0,641.0,82.0,21.0,148.0,1.0,49617.0,510.0,332.0,3694.0,33407.0,1116.0,9421.0,4784.0,52425.0,1125.0,43731.0,7569.0
25,,106074017,CONTRA COSTA,6001 NORRIS CANYON ROAD,SAN RAMON,94583,Hospital,Investor - Corporation,,Basic,,,100-149,Urban,6947.0,8680.0,,1448.0,1766.0,1584.0,1818.0,2276.0,2191.0,1712.0,1423.0,1232.0,177.0,,1706.0,700.0,909.0,53.0,2192.0,99.0,9968.0,249.0,55.0,25.0,3.0,90.0,,15137.0,48.0,18.0,2373.0,3411.0,606.0,8656.0,581.0,15627.0,245.0,15288.0,94.0
26,,106074097,CONTRA COSTA,4501 SAND CREEK ROAD,ANTIOCH,94531,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,150-199,Urban,22602.0,30109.0,2.0,6050.0,6007.0,7864.0,6802.0,6279.0,6657.0,5015.0,3737.0,3181.0,1121.0,,3779.0,12946.0,12328.0,268.0,1208.0,597.0,21587.0,509.0,817.0,36.0,74.0,370.0,2.0,50287.0,235.0,187.0,12896.0,10727.0,648.0,24973.0,3467.0,52713.0,532.0,49625.0,2556.0
27,,106084001,DEL NORTE,800 EAST WASHINGTON BOULEVARD,CRESCENT CITY,95531,Hospital,Non-profit Corporation (incl. Church-related),,Basic,SMALL/RURAL,,1-49,Rural,9310.0,10393.0,2.0,1806.0,1624.0,2784.0,2981.0,2197.0,2791.0,2188.0,1566.0,1382.0,386.0,,275.0,139.0,1588.0,880.0,211.0,182.0,16430.0,461.0,280.0,46.0,19.0,63.0,11.0,18410.0,73.0,162.0,9745.0,5221.0,980.0,2638.0,1099.0,19705.0,83.0,19311.0,311.0
28,,106090793,EL DORADO,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,96150,Hospital,Non-profit Corporation (incl. Church-related),,Basic,SMALL/RURAL,,100-149,Rural,9330.0,9478.0,,1688.0,2014.0,3878.0,2862.0,2174.0,2548.0,1988.0,872.0,500.0,284.0,,588.0,396.0,3294.0,62.0,180.0,187.0,14101.0,527.0,518.0,28.0,,1.0,1.0,17393.0,133.0,2.0,7700.0,2917.0,766.0,5793.0,1632.0,18808.0,171.0,17660.0,977.0
29,,106090933,EL DORADO,1100 MARSHALL WAY,PLACERVILLE,95667,Hospital,Non-profit Corporation (incl. Church-related),,Basic,SMALL/RURAL,,100-149,Rural,11242.0,13175.0,,2381.0,2617.0,3362.0,3295.0,2452.0,3049.0,2706.0,2103.0,2053.0,399.0,,165.0,254.0,2309.0,104.0,608.0,7887.0,13090.0,695.0,240.0,41.0,4.0,26.0,1.0,22936.0,237.0,130.0,1930.0,6304.0,6907.0,8585.0,539.0,24417.0,82.0,23661.0,674.0
30,,106100005,FRESNO,2755 HERNDON AVENUE,CLOVIS,93611,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,200-299,Rural,21821.0,33253.0,,2542.0,4857.0,12344.0,10038.0,7124.0,6648.0,4943.0,3384.0,2638.0,556.0,,143.0,120.0,32574.0,283.0,2133.0,440.0,19381.0,541.0,3867.0,61.0,13.0,18.0,120.0,49458.0,427.0,177.0,26458.0,9608.0,1633.0,13823.0,3552.0,55074.0,718.0,51380.0,2976.0
31,,106100697,FRESNO,1191 PHELPS AVENUE,COALINGA,93210,Hospital,District,,Standby,SMALL/RURAL,,100-149,Rural,4302.0,4672.0,1.0,1607.0,1387.0,1545.0,1240.0,1018.0,896.0,563.0,288.0,184.0,247.0,,101.0,217.0,6260.0,9.0,141.0,13.0,2234.0,305.0,191.0,10.0,,,80.0,8269.0,5.0,7.0,5637.0,714.0,434.0,1738.0,451.0,8975.0,7.0,6176.0,2792.0
32,,106100717,FRESNO,2823 FRESNO STREET,FRESNO,93721,Hospital,Non-profit Corporation (incl. Church-related),,Comprehensive,,Teaching,500+,Urban,39958.0,39320.0,,4209.0,6743.0,17883.0,15203.0,12698.0,12146.0,5963.0,2157.0,1244.0,1032.0,,93.0,283.0,36773.0,146.0,2234.0,61.0,39688.0,204.0,11969.0,279.0,23.0,14.0,101.0,63403.0,540.0,462.0,55924.0,8798.0,2143.0,4780.0,7633.0,79278.0,1168.0,67404.0,10706.0
33,,106100797,FRESNO,372 WEST CYPRESS AVENUE,REEDLEY,93654,Hospital,Non-profit Corporation (incl. Church-related),,Standby,SMALL/RURAL,,1-49,Rural,13720.0,18006.0,,6453.0,4783.0,5535.0,4459.0,3387.0,2586.0,1655.0,944.0,759.0,1165.0,,74.0,81.0,26523.0,10.0,193.0,25.0,4820.0,949.0,537.0,22.0,5.0,4.0,,30053.0,24.0,30.0,23475.0,2884.0,454.0,3421.0,1491.0,31726.0,33.0,20514.0,11179.0
34,,106100899,FRESNO,1303 EAST HERNDON AVENUE,FRESNO,93720,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,300-499,Urban,24746.0,41152.0,,2034.0,4574.0,14964.0,11497.0,8425.0,8467.0,6355.0,4552.0,4679.0,351.0,,2619.0,7590.0,28028.0,192.0,742.0,107.0,26620.0,614.0,1406.0,113.0,14.0,230.0,103.0,62662.0,469.0,133.0,36028.0,14547.0,1465.0,11278.0,2580.0,65898.0,855.0,60299.0,4744.0
35,,106104062,FRESNO,7300 NORTH FRESNO STREET,FRESNO,93720,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,150-199,Urban,15063.0,20924.0,1.0,2782.0,3421.0,5122.0,4226.0,3826.0,4259.0,4099.0,3567.0,4163.0,523.0,,2036.0,3100.0,14272.0,237.0,536.0,260.0,15547.0,246.0,632.0,33.0,38.0,196.0,7.0,34090.0,304.0,327.0,5230.0,10586.0,708.0,17822.0,1642.0,35988.0,388.0,33517.0,2083.0
36,,106110889,GLENN,1133 WEST SYCAMORE STREET,WILLOWS,95988,Hospital,Non-profit Corporation (incl. Church-related),,Standby,SMALL/RURAL,,1-49,Frontier,2920.0,3600.0,,583.0,641.0,1125.0,1078.0,659.0,872.0,605.0,436.0,438.0,83.0,,114.0,130.0,1424.0,153.0,66.0,39.0,4594.0,498.0,162.0,8.0,,,5.0,5490.0,61.0,52.0,3244.0,1572.0,225.0,809.0,670.0,6520.0,28.0,6149.0,343.0
37,,106121002,HUMBOLDT,3800 JANES ROAD,ARCATA,95521,Hospital,Investor - Corporation,,Basic,,,50-99,Rural,7844.0,8364.0,,1173.0,1558.0,3533.0,2668.0,1843.0,1923.0,1706.0,884.0,730.0,190.0,,135.0,522.0,1274.0,1686.0,105.0,2.0,12484.0,363.0,229.0,24.0,2.0,15.0,12.0,15286.0,43.0,2.0,7547.0,3350.0,1063.0,3514.0,731.0,16208.0,43.0,15960.0,205.0
38,,106121031,HUMBOLDT,733 CEDAR STREET,GARBERVILLE,95542,Hospital,District,,Standby,SMALL/RURAL,,1-49,Frontier,1933.0,1528.0,,172.0,225.0,721.0,695.0,471.0,405.0,403.0,219.0,134.0,16.0,,34.0,73.0,312.0,84.0,87.0,117.0,2754.0,162.0,120.0,6.0,,,10.0,2983.0,6.0,8.0,187.0,598.0,120.0,1869.0,687.0,3461.0,42.0,3329.0,90.0
39,,106121051,HUMBOLDT,3300 RENNER DRIVE,FORTUNA,95540,Hospital,Non-profit Corporation (incl. Church-related),,Basic,SMALL/RURAL,,1-49,Rural,5771.0,6253.0,,948.0,1028.0,2036.0,1871.0,1281.0,1540.0,1484.0,919.0,726.0,191.0,,73.0,140.0,891.0,332.0,421.0,169.0,9998.0,588.0,188.0,24.0,,3.0,3.0,11078.0,23.0,15.0,5275.0,2836.0,544.0,2118.0,1251.0,12024.0,33.0,11647.0,344.0
40,,106121080,HUMBOLDT,2700 DOLBEER STREET,EUREKA,95501,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,100-149,Rural,14083.0,13994.0,,1793.0,2234.0,5319.0,4745.0,3729.0,3843.0,3051.0,1599.0,1386.0,378.0,,550.0,936.0,1025.0,1056.0,1302.0,833.0,22375.0,223.0,477.0,69.0,11.0,9.0,44.0,26353.0,186.0,33.0,13326.0,6237.0,1424.0,4991.0,2099.0,28077.0,96.0,27700.0,281.0
41,,106130699,IMPERIAL,1415 ROSS AVENUE,EL CENTRO,92243,Hospital,City or County,,Basic,,,150-199,Rural,21287.0,24672.0,,6292.0,5587.0,6528.0,5721.0,4945.0,5049.0,4324.0,3232.0,3071.0,1210.0,,126.0,832.0,39523.0,28.0,1632.0,87.0,3731.0,1114.0,1020.0,60.0,,184.0,4.0,43327.0,3.0,30.0,26152.0,10201.0,1211.0,6122.0,2270.0,45959.0,41.0,26187.0,19731.0
42,,106130760,IMPERIAL,207 WEST LEGION ROAD,BRAWLEY,92227,Hospital,District,,Basic,SMALL/RURAL,,100-149,Rural,19188.0,25154.0,2.0,7301.0,5945.0,7239.0,6309.0,4820.0,4359.0,3371.0,2023.0,1648.0,1329.0,,84.0,701.0,36440.0,29.0,29.0,30.0,7031.0,684.0,498.0,32.0,2.0,14.0,1.0,42473.0,,31.0,3141.0,5980.0,1106.0,33077.0,1040.0,44344.0,30.0,33050.0,11264.0
43,,106141273,INYO,150 PIONEER LANE,BISHOP,93514,Hospital,District,,Basic,SMALL/RURAL,,1-49,Rural,4404.0,4912.0,,889.0,934.0,1328.0,1123.0,860.0,1139.0,1201.0,842.0,841.0,159.0,,59.0,49.0,1587.0,1248.0,53.0,3.0,6317.0,110.0,116.0,12.0,,,4.0,8565.0,8.0,26.0,1974.0,2475.0,545.0,3779.0,543.0,9316.0,65.0,8679.0,572.0
44,,106141338,INYO,501 EAST LOCUST STREET,LONE PINE,93545,Hospital,District,,Standby,SMALL/RURAL,,1-49,Frontier,592.0,518.0,,95.0,78.0,139.0,134.0,128.0,182.0,157.0,95.0,89.0,13.0,,11.0,18.0,173.0,86.0,14.0,,808.0,79.0,26.0,,,,,924.0,1.0,2.0,271.0,284.0,75.0,340.0,140.0,1110.0,26.0,1033.0,51.0
45,,106150706,KERN,1401 GARCES HIGHWAY,DELANO,93215,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,150-199,Urban,13181.0,16236.0,3.0,6229.0,4720.0,4812.0,3884.0,2823.0,2391.0,1594.0,915.0,686.0,1366.0,,1256.0,386.0,25233.0,16.0,1335.0,28.0,1166.0,465.0,219.0,48.0,,,392.0,28214.0,,71.0,19899.0,2335.0,535.0,4051.0,2600.0,29420.0,100.0,18167.0,11153.0
46,,106150722,KERN,420 34TH STREET,BAKERSFIELD,93301,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,300-499,Urban,26713.0,36993.0,2.0,13845.0,7956.0,12321.0,8438.0,5677.0,5363.0,3072.0,1753.0,1356.0,3927.0,,813.0,5802.0,37344.0,72.0,2391.0,380.0,16906.0,349.0,277.0,48.0,13.0,2.0,10.0,62671.0,68.0,15.0,47741.0,7268.0,315.0,6395.0,1989.0,63708.0,164.0,53713.0,9831.0
47,,106150736,KERN,1700 MOUNT VERNON AVENUE,BAKERSFIELD,93306,Hospital,City or County,,Basic,,Teaching,200-299,Urban,22438.0,21779.0,,4727.0,4889.0,9780.0,8086.0,6137.0,5329.0,2548.0,759.0,293.0,1669.0,,189.0,4455.0,26713.0,24.0,438.0,64.0,12334.0,12.0,3888.0,69.0,2.0,,,37505.0,153.0,,31711.0,2414.0,323.0,4137.0,5558.0,44217.0,307.0,34141.0,9769.0
48,,106150737,KERN,6412 LAUREL AVENUE,LAKE ISABELLA,93240,Hospital,District,,Standby,SMALL/RURAL,,100-149,Frontier,3179.0,3602.0,,521.0,531.0,837.0,654.0,693.0,1066.0,1046.0,726.0,633.0,74.0,,34.0,36.0,514.0,78.0,152.0,191.0,5776.0,1217.0,477.0,42.0,3.0,2.0,,5029.0,1.0,6.0,346.0,1311.0,95.0,4789.0,240.0,6781.0,8.0,6740.0,33.0
49,,106150761,KERN,2215 TRUXTUN AVENUE,BAKERSFIELD,93301,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,100-149,Urban,33308.0,44795.0,1.0,12720.0,10083.0,16354.0,11769.0,8544.0,7405.0,4564.0,2148.0,1821.0,2696.0,,1937.0,9328.0,38452.0,151.0,1426.0,351.0,26459.0,1033.0,397.0,119.0,29.0,3.0,20.0,76047.0,192.0,113.0,50033.0,10330.0,647.0,13636.0,3458.0,78104.0,497.0,70115.0,7492.0
50,,106150775,KERN,901 OLIVE DRIVE,BAKERSFIELD,93308,Hospital,Investor - Individual,,,,,50-99,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,106150782,KERN,1081 NORTH CHINA LAKE BLVD.,RIDGECREST,93555,Hospital,Non-profit Corporation (incl. Church-related),,Basic,SMALL/RURAL,,50-99,Rural,8505.0,10467.0,,2063.0,1894.0,3114.0,2578.0,2100.0,2481.0,1674.0,1437.0,1201.0,430.0,,282.0,1127.0,2851.0,,398.0,1449.0,12865.0,647.0,132.0,38.0,1.0,10.0,3.0,17910.0,26.0,43.0,8561.0,4146.0,1647.0,4116.0,502.0,18972.0,63.0,18343.0,566.0
52,,106150788,KERN,2615 CHESTER AVENUE,BAKERSFIELD,93301,Hospital,Non-profit Corporation (incl. Church-related),,Basic,,,200-299,Urban,28659.0,35566.0,4.0,7851.0,6151.0,11381.0,9122.0,7856.0,8145.0,5611.0,3495.0,2566.0,2051.0,,556.0,6920.0,31992.0,131.0,1311.0,546.0,22773.0,494.0,4413.0,74.0,27.0,8.0,77.0,58194.0,70.0,178.0,34988.0,11135.0,2446.0,11462.0,4198.0,64229.0,177.0,54431.0,9621.0
53,,106150808,KERN,115 WEST E STREET,TEHACHAPI,93561,Hospital,Non-profit Corporation (incl. Church-related),,Standby,SMALL/RURAL,,1-49,Rural,6202.0,7675.0,4.0,1983.0,1684.0,2109.0,1739.0,1493.0,1710.0,1264.0,872.0,667.0,360.0,,62.0,941.0,2725.0,11.0,,,10142.0,1066.0,953.0,24.0,3.0,,,11576.0,74.0,4.0,6975.0,2434.0,632.0,2925.0,915.0,13881.0,24.0,13399.0,458.0
